,IVV US,VGK US,AAXJ US,EWA US,EWC US,EWJ US,SPEM US,BIL US,SHY US,SCHR US,VNQ US,VNQI US,GLD US
IVV US,2.7%,2.1%,2.1%,1.6%,2.0%,2.3%,2.6%,0.0%,-0.1%,-0.4%,2.0%,3.2%,-0.4%
VGK US,2.1%,2.4%,2.1%,1.9%,2.3%,2.8%,2.7%,0.0%,-0.1%,-0.4%,2.6%,3.5%,0.1%
AAXJ US,2.1%,2.1%,3.1%,2.1%,2.5%,2.2%,3.8%,0.0%,0.0%,-0.3%,2.3%,3.5%,0.6%
EWA US,1.6%,1.9%,2.1%,2.1%,1.7%,2.2%,2.8%,0.0%,0.0%,-0.3%,2.1%,3.2%,0.1%
EWC US,2.0%,2.3%,2.5%,1.7%,3.2%,2.4%,3.5%,0.0%,0.0%,-0.4%,2.1%,3.5%,0.3%
EWJ US,2.3%,2.8%,2.2%,2.2%,2.4%,5.1%,2.5%,0.0%,-0.2%,-0.7%,1.8%,4.3%,-0.3%
SPEM US,2.6%,2.7%,3.8%,2.8%,3.5%,2.5%,5.0%,0.0%,0.0%,-0.3%,3.2%,4.5%,1.2%
BIL US,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
SHY US,-0.1%,-0.1%,0.0%,0.0%,0.0%,-0.2%,0.0%,0.0%,0.0%,0.0%,-0.1%,-0.1%,0.1%
SCHR US,-0.4%,-0.4%,-0.3%,-0.3%,-0.4%,-0.7%,-0.3%,0.0%,0.0%,0.2%,-0.3%,-0.5%,0.2%
VNQ US,2.0%,2.6%,2.3%,2.1%,2.1%,1.8%,3.2%,0.0%,-0.1%,-0.3%,5.3%,4.4%,0.4%
VNQI US,3.2%,3.5%,3.5%,3.2%,3.5%,4.3%,4.5%,0.0%,-0.1%,-0.5%,4.4%,6.2%,0.4%
GLD US,-0.4%,0.1%,0.6%,0.1%,0.3%,-0.3%,1.2%,0.0%,0.1%,0.2%,0.4%,0.4%,1.7%